ZIP,population
Acton,6522 
Agoura Hills,20324 
Alhambra,85961 
Altadena,42680 
Arcadia,52951 
Arleta,31068 
Avalon,3181 
Azusa,44384 
Baldwin Hills,30123 
Baldwin Park,75753 
Bassett,23599 
Bell,36667 
Bell Gardens,44054 
Bellflower,72829 
Beverly Hills,33829 
Beverlywood,6080 
Boyle Heights,92756 
Brentwood,31344 
Burbank,100316 
Calabasas,23130 
Canoga Park,53227 
Canyon Country,25899 
Carson,89549 
Castaic,16843 
Central,27849 
Century City,5513 
Cerritos,51831 
Chatsworth,35073 
Claremont,35397 
Cloverdale/Cochran,6817 
Compton,94384 
Covina,50954 
Crestview,5284 
Culver City,38816 
Del Rey,28010 
Diamond Bar,56784 
Downey,107323 
Downtown,27849 
Duarte,21486 
Eagle Rock,32493 
East Hollywood,73967 
East Los Angeles,125897 
Echo Park,40455 
El Monte,116249 
El Segundo,15970 
El Sereno,40954 
Encino,41905 
Exposition Park,31062 
Gardena,57818 
Glassell Park,23467 
Glendale,195047 
Glendora,50177 
Granada Hills,50535 
Hacienda Heights,53525 
Hancock Park,9804 
Harbor City,23561 
Harbor Gateway,39688 
Harvard Heights,18587 
Harvard Park,10297 
Hawthorne,86265 
Highland Park,57566 
Hollywood,77818 
Hollywood Hills,21588 
Huntington Park,61370 
Hyde Park,36635 
Inglewood,112482 
Koreatown,115070 
La Canada Flintridge,20009 
La Mirada,46782 
La Puente,41009 
La Verne,33117 
Lake Balboa,24238 
Lake Los Angeles,11141 
Lakewood,79412 
Lancaster,120783 
Lawndale,31729 
Leimert Park,11782 
Lincoln Heights,26616 
Lomita,19984 
Los Feliz,35238 
Lynwood,69899 
Manhattan Beach,34039 
Mar Vista,35492 
Maywood,28083 
Melrose,31138 
Miracle Mile,7295 
Monrovia,36817 
Montebello,61960 
Monterey Park,59933 
Mt. Washington,12728 
North Hills,53095 
North Hollywood,77848 
Northridge,57561 
Norwalk,103223 
Pacoima,75014 
Palmdale,117432 
Palms,42545 
Panorama City,65766 
Paramount,55319 
Park La Brea,150898 
Pasadena,134941 
Pico Rivera,63151 
Playa Vista,2416 
Pomona,150269 
Porter Ranch,24923 
Rancho Palos Verdes,41301 
Redondo Beach,63261 
Reseda,62174 
Rosemead,53280 
Rowland Heights,47524 
San Dimas,35064 
San Fernando,23534 
San Gabriel,39306 
San Pedro,80065 
Santa Clarita,157447 
Santa Monica,84084 
Sherman Oaks,61166 
Silverlake,30972 
South El Monte,20935 
South Gate,96418 
South Park,30496 
South Pasadena,24303 
South Whittier,55285 
Stevenson Ranch,8609 
Studio City,34034 
Sun Valley,75848 
Sunland,15316 
Sylmar,69499 
Tarzana,35502 
Temple City,33296 
Torrance,137933 
Tujunga,26527 
University Park,23596 
Valinda,21568 
Valley Glen,59230 
Van Nuys,103770 
Venice,37705 
Vermont Knolls,20616 
Vermont Vista,23291 
Vernon Central,94 
Walnut,30004 
Watts,36815 
West Adams,21764 
West Covina,104893 
West Hills,38814 
West Hollywood,35716 
West Vernon,94 
Westchester,41500 
Westlake,103839 
Westwood,47916 
Whittier,83838 
Wholesale District,7245 
Willowbrook,34336 
Wilmington,51517 
Wilshire Center,151328 
Winnetka,46943 
Woodland Hills,59661 
