ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Acton,26.68831168831169,6522.0,2.0,88.92967532467532,38.44084415584417,93.63792207792207,-38.12337662337662,-13.175324675324676,-15.46103896103896,-42.85064935064935,-39.246753246753244,15.590909090909092
Agoura Hills,64.46060606060605,20324.0,2.0,86.01375757575758,37.666424242424256,90.5010303030303,-38.52121212121212,-13.67878787878788,-16.939393939393938,-43.38787878787879,-39.842424242424244,16.048484848484847
Alhambra,440.7906976744186,85961.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Altadena,248.97041420118344,42680.0,2.0,85.21284023668639,37.5472781065089,89.59319526627219,-38.57988165680474,-13.568047337278106,-17.21301775147929,-43.3905325443787,-39.739644970414204,16.08284023668639
Arcadia,170.0174418604651,52951.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Arleta,521.1963190184049,31068.0,2.0,86.50325153374233,37.76055214723929,91.03981595092024,-38.47239263803681,-13.607361963190185,-16.742331288343557,-43.31288343558282,-39.74233128834356,15.969325153374234
Avalon,4.786666666666667,3181.0,2.0,107.6333333333333,46.45439999999999,114.88706666666667,-30.666666666666668,-11.24,-4.6,-39.96,-36.81333333333333,12.906666666666666
Azusa,523.5802469135803,44384.0,2.0,86.75327160493828,37.818086419753115,91.31537037037036,-38.44444444444444,-13.567901234567902,-16.635802469135804,-43.27160493827161,-39.68518518518518,15.925925925925926
Baldwin Hills,245.56140350877192,30123.0,1.0,84.93228070175438,37.569649122807036,89.20309941520469,-38.47953216374269,-13.374269005847953,-17.257309941520468,-43.30409356725146,-39.67251461988304,16.093567251461987
Baldwin Park,1024.687898089172,75753.0,2.0,88.11006369426752,38.20751592356691,92.75573248407643,-38.197452229299365,-13.299363057324841,-15.872611464968152,-42.99363057324841,-39.48407643312102,15.745222929936306
Bassett,255.68421052631578,23599.0,2.0,89.4628947368421,38.6279605263158,94.20631578947368,-38.01315789473684,-13.118421052631579,-15.05921052631579,-42.74342105263158,-39.1578947368421,15.5
Bell,622.0061728395061,36667.0,1.0,86.75327160493828,37.818086419753115,91.31537037037036,-38.44444444444444,-13.567901234567902,-16.635802469135804,-43.27160493827161,-39.68518518518518,15.925925925925926
Bell Gardens,705.361963190184,44054.0,1.0,86.50325153374233,37.76055214723929,91.03981595092024,-38.47239263803681,-13.607361963190185,-16.742331288343557,-43.31288343558282,-39.74233128834356,15.969325153374234
Bellflower,866.5783132530121,72829.0,2.0,85.71355421686748,37.58144578313255,90.19463855421687,-38.602409638554214,-13.75301204819277,-17.05421686746988,-43.45180722891566,-39.83132530120482,16.048192771084338
Beverly Hills,271.6453488372093,33829.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Beverlywood,64.0828402366864,6080.0,2.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
Boyle Heights,1569.1511627906978,92756.0,1.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
