ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Acton,18.42622950819672,6522.0,2.0,83.1263114754098,36.08467213114754,86.73639344262297,-40.22950819672131,-13.557377049180328,-18.5,-43.33606557377049,-39.81967213114754,16.475409836065573
Agoura Hills,46.833333333333336,20324.0,2.0,80.24636363636361,35.35318181818183,83.69378787878789,-40.53787878787879,-14.113636363636363,-19.992424242424242,-43.92424242424242,-40.46212121212121,16.931818181818183
Alhambra,293.2661870503597,85961.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Altadena,172.80882352941177,42680.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Arcadia,112.81294964028777,52951.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Arleta,349.7692307692308,31068.0,2.0,80.77130769230769,35.453615384615404,84.26684615384616,-40.5,-14.023076923076923,-19.776923076923076,-43.83076923076923,-40.33076923076923,16.838461538461537
Avalon,4.714285714285714,3181.0,2.0,105.20714285714287,45.64476190476191,111.29904761904763,-31.11904761904762,-10.857142857142858,-5.214285714285714,-39.214285714285715,-36.523809523809526,13.380952380952381
Azusa,327.9767441860465,44384.0,2.0,81.03790697674418,35.51844961240312,84.5625581395349,-40.48062015503876,-13.976744186046512,-19.65891472868217,-43.775193798449614,-40.25581395348837,16.782945736434108
Baldwin Hills,177.02898550724638,30123.0,1.0,78.99615942028984,35.2213043478261,82.25956521739133,-40.528985507246375,-13.91304347826087,-20.333333333333332,-43.93478260869565,-40.35507246376812,17.007246376811594
Baldwin Park,649.741935483871,75753.0,2.0,82.53209677419353,35.92209677419355,86.11080645161293,-40.25806451612903,-13.637096774193548,-18.79032258064516,-43.45161290322581,-40.016129032258064,16.596774193548388
Bassett,175.9327731092437,23599.0,2.0,84.12336134453778,36.42579831932774,87.7726050420168,-40.016806722689076,-13.378151260504202,-17.69747899159664,-43.09243697478992,-39.6890756302521,16.369747899159663
Bell,436.7984496124031,36667.0,1.0,81.03790697674418,35.51844961240312,84.5625581395349,-40.48062015503876,-13.976744186046512,-19.65891472868217,-43.775193798449614,-40.25581395348837,16.782945736434108
Bell Gardens,468.5692307692308,44054.0,1.0,80.77130769230769,35.453615384615404,84.26684615384616,-40.5,-14.023076923076923,-19.776923076923076,-43.83076923076923,-40.33076923076923,16.838461538461537
Bellflower,579.8571428571429,72829.0,2.0,79.98879699248118,35.318796992481204,83.41556390977445,-40.54887218045113,-14.150375939849624,-20.082706766917294,-43.962406015037594,-40.51127819548872,16.969924812030076
