,Region,Timestamp,Risk_score_level,Risk_score
0,Acton,2020-04-09 ,0,-24.587519510287297
1,Acton,2020-04-10 ,0,-26.030155896628717
2,Acton,2020-04-11 ,0,-22.62891051740743
3,Acton,2020-04-12 ,0,-23.349784188970983
4,Acton,2020-04-13 ,0,-18.503235293765332
5,Acton,2020-04-14 ,0,-18.058620103112542
6,Acton,2020-04-15 ,0,-30.371915413097017
7,Acton,2020-04-16 ,0,-32.02090340865532
8,Acton,2020-04-17 ,0,-26.015556871214734
9,Acton,2020-04-18 ,0,-16.87544396010618
10,Acton,2020-04-19 ,0,-13.509573142464927
11,Acton,2020-04-20 ,0,-5.192901414802783
12,Acton,2020-04-21 ,0,-9.723138092705458
13,Acton,2020-04-22 ,0,-11.92950939188995
14,Acton,2020-04-23 ,0,-11.802001878258203
15,Acton,2020-04-24 ,0,-18.378067367539675
16,Acton,2020-04-25 ,0,-18.040792447078157
17,Acton,2020-04-26 ,0,-19.227290804201164
18,Acton,2020-04-27 ,0,-14.601458584885771
19,Acton,2020-04-28 ,0,-13.084750861267633
20,Acton,2020-04-29 ,0,-14.941541010234591
21,Acton,2020-04-30 ,0,-16.2091762586007
22,Acton,2020-05-01 ,0,-18.664011740311636
23,Acton,2020-05-02 ,0,-15.261924109624157
24,Acton,2020-05-03 ,0,-18.09970325796343
25,Acton,2020-05-04 ,0,-17.37648999899379
26,Acton,2020-05-05 ,0,-18.037376649465273
27,Acton,2020-05-06 ,0,-18.475347411884776
28,Acton,2020-05-07 ,0,-16.31773311424314
29,Acton,2020-05-08 ,0,-19.80722773042203
30,Acton,2020-05-09 ,0,-18.578195674256364
31,Acton,2020-05-10 ,0,-20.4704539682996
32,Acton,2020-05-11 ,0,-19.38324770069093
33,Acton,2020-05-12 ,0,-18.465380769534843
34,Acton,2020-05-13 ,0,-16.516925585997395
35,Acton,2020-05-14 ,0,-15.165954234226465
36,Acton,2020-05-15 ,0,-14.11627494861143
37,Acton,2020-05-16 ,0,-14.61268860443499
38,Acton,2020-05-19 ,0,-11.968252959334752
39,Acton,2020-05-20 ,0,-8.711313331320914
40,Acton,2020-05-21 ,0,-7.918427159397999
41,Acton,2020-05-22 ,0,-9.321711685569035
42,Acton,2020-05-23 ,0,-9.016021195089696
43,Acton,2020-05-24 ,0,-13.685697282395163
44,Acton,2020-05-25 ,0,-11.706219169852998
45,Acton,2020-05-26 ,0,-11.515589588005021
46,Acton,2020-05-27 ,0,-11.144390650155243
47,Acton,2020-05-28 ,0,-11.239986191567962
48,Acton,2020-05-29 ,0,-7.40077004992717
49,Acton,2020-05-30 ,0,-2.2436175306893973
50,Acton,2020-05-31 ,0,-8.116917754930428
51,Acton,2020-06-01 ,0,-11.652923368742334
52,Acton,2020-06-02 ,0,-12.728057365335594
53,Acton,2020-06-03 ,0,-11.900124174069495
54,Acton,2020-06-04 ,0,-9.792015545940663
55,Acton,2020-06-05 ,0,-16.334344184826357
56,Acton,2020-06-06 ,0,-15.622220570161568
57,Acton,2020-06-07 ,0,-11.947898548901794
58,Acton,2020-06-08 ,0,-9.539059355594526
59,Acton,2020-06-09 ,0,-8.248542942396888
60,Acton,2020-06-10 ,0,-5.7952047966258435
61,Acton,2020-06-11 ,0,-4.4347347199862
62,Acton,2020-06-12 ,0,-2.875072171592303
63,Acton,2020-06-13 ,0,-1.8829467361670116
64,Acton,2020-06-14 ,0,-5.129638971342188
65,Acton,2020-06-15 ,1,0.36488205185334255
66,Acton,2020-06-16 ,2,1.9954808903998007
67,Acton,2020-06-17 ,0,-1.607764465463048
68,Acton,2020-06-18 ,0,-3.7236405237800905
69,Acton,2020-06-19 ,3,9.48141192190854
70,Acton,2020-06-20 ,1,0.3959985643543008
71,Acton,2020-06-21 ,0,-4.134846406273957
72,Acton,2020-06-22 ,2,1.5910130196354646
73,Acton,2020-06-23 ,3,2.0808758307219795
74,Acton,2020-06-24 ,3,3.47943439033272
