,Region,Timestamp,Risk_score_level,Risk_score
0,Acton,2020-04-09 ,0,-1.5362257315534202
1,Acton,2020-04-10 ,0,-1.791221018548174
2,Acton,2020-04-11 ,0,-2.0574529051817256
3,Acton,2020-04-12 ,0,-2.6706587643171518
4,Acton,2020-04-13 ,0,-1.5322718288371329
5,Acton,2020-04-14 ,0,-1.0821688434749395
6,Acton,2020-04-15 ,0,-2.1251400933240827
7,Acton,2020-04-16 ,0,-2.674021921213402
8,Acton,2020-04-17 ,0,-1.024674945212478
9,Acton,2020-04-18 ,0,-0.2824671609896672
10,Acton,2020-04-19 ,0,-0.5148086618039185
11,Acton,2020-04-20 ,1,0.459752321170174
12,Acton,2020-04-21 ,0,-0.5401661336805805
13,Acton,2020-04-22 ,0,-1.1963297420760233
14,Acton,2020-04-23 ,0,-0.8898474474839366
15,Acton,2020-04-24 ,0,-1.5999217298052055
16,Acton,2020-04-25 ,0,-0.8937713742365833
17,Acton,2020-04-26 ,0,-2.8396457004166935
18,Acton,2020-04-27 ,0,-1.8576038867116376
19,Acton,2020-04-28 ,0,-1.3262397195253954
20,Acton,2020-04-29 ,0,-1.6315807341359503
21,Acton,2020-04-30 ,0,-0.7123327152892075
22,Acton,2020-05-01 ,0,-1.2552734534091943
23,Acton,2020-05-02 ,0,-0.25631861612132195
24,Acton,2020-05-03 ,0,-2.147668857802573
25,Acton,2020-05-04 ,0,-3.0323940711093074
26,Acton,2020-05-05 ,0,-2.1690512244520797
27,Acton,2020-05-06 ,0,-2.0461336888626507
28,Acton,2020-05-07 ,0,-1.326964260500218
29,Acton,2020-05-08 ,0,-3.0157201241145506
30,Acton,2020-05-09 ,0,-1.1556494349316198
31,Acton,2020-05-10 ,0,-2.707371277445045
32,Acton,2020-05-11 ,0,-2.0765702587737147
33,Acton,2020-05-12 ,0,-1.866482620917738
34,Acton,2020-05-13 ,0,-0.8393262508126791
35,Acton,2020-05-14 ,1,0.23239341040982384
36,Acton,2020-05-15 ,0,-1.340878956597921
37,Acton,2020-05-16 ,0,-3.208035671137038
38,Acton,2020-05-19 ,0,-2.31389654300506
39,Acton,2020-05-20 ,0,-1.558407213526319
40,Acton,2020-05-21 ,0,-0.9009634121471078
41,Acton,2020-05-22 ,0,-3.262951636526417
42,Acton,2020-05-23 ,0,-1.466953472943439
43,Acton,2020-05-24 ,0,-1.7885948316848412
44,Acton,2020-05-25 ,0,-2.44000615316167
45,Acton,2020-05-26 ,0,-2.3623230778268054
46,Acton,2020-05-27 ,0,-2.0659573054028524
47,Acton,2020-05-28 ,0,-1.0753474839440667
48,Acton,2020-05-29 ,0,-2.4476361325897713
49,Acton,2020-05-30 ,0,-1.465895540763249
50,Acton,2020-05-31 ,0,-0.9426811800818983
51,Acton,2020-06-01 ,0,-2.6949553795293664
52,Acton,2020-06-02 ,0,-3.101427984252293
53,Acton,2020-06-03 ,0,-2.471115354451984
54,Acton,2020-06-04 ,0,-2.0990405335670523
55,Acton,2020-06-05 ,0,-3.976395655833516
56,Acton,2020-06-06 ,0,-3.57723572399674
57,Acton,2020-06-07 ,0,-2.851524955471101
58,Acton,2020-06-08 ,0,-1.801241763856871
59,Acton,2020-06-09 ,0,-1.1599294176426302
60,Acton,2020-06-10 ,0,-1.4671720781416953
61,Acton,2020-06-11 ,0,-1.273060897785036
62,Acton,2020-06-12 ,0,-2.28400538940804
63,Acton,2020-06-13 ,0,-3.559418303657258
64,Acton,2020-06-14 ,0,-3.1211755642017973
65,Acton,2020-06-15 ,0,-1.5463583383849704
66,Acton,2020-06-16 ,0,-2.1372986366250917
67,Acton,2020-06-17 ,0,-2.397729808733676
68,Acton,2020-06-18 ,0,-1.6727348077300865
69,Acton,2020-06-19 ,0,-2.067991284204019
70,Acton,2020-06-20 ,0,-3.1636566225278235
71,Acton,2020-06-21 ,0,-1.5926112502822478
72,Acton,2020-06-22 ,0,-1.4027040160459012
73,Acton,2020-06-23 ,0,-1.1265040248202898
74,Acton,2020-06-24 ,0,-1.1531658166758454
75,Acton,2020-06-25 ,1,0.1826764469094088
76,Acton,2020-06-26 ,0,-1.142558712273498
77,Acton,2020-06-27 ,0,-0.9057449439082984
78,Acton,2020-06-28 ,2,1.609574721218508
79,Acton,2020-06-29 ,1,0.9783854772619804
80,Acton,2020-06-30 ,1,0.4292748084795033
81,Acton,2020-07-01 ,1,0.4734966660598713
82,Acton,2020-07-02 ,3,3.5168356195032797
83,Acton,2020-07-03 ,0,-2.2904728863437422
84,Acton,2020-07-04 ,0,-2.4525039366365613
85,Acton,2020-07-05 ,0,-0.8352246616413826
86,Acton,2020-07-06 ,0,-1.7578950581905923
87,Acton,2020-07-07 ,0,-1.3881481267747173
88,Acton,2020-07-08 ,0,-3.061900655026452
89,Acton,2020-07-12 ,0,-1.1941407656092031
90,Acton,2020-07-13 ,0,-1.1147468669836378
91,Acton,2020-07-14 ,0,-1.3239798243153282
92,Acton,2020-07-15 ,0,-1.393347859784746
93,Acton,2020-07-16 ,3,2.181024794123795
94,Acton,2020-07-17 ,0,-1.258412156138673
95,Acton,2020-07-18 ,0,-2.738000863317111
96,Acton,2020-07-19 ,0,-2.582709286995952
97,Acton,2020-07-20 ,0,-2.265373500202814
98,Acton,2020-07-21 ,0,-1.3244828356076368
99,Acton,2020-07-22 ,0,-2.68498288821092
100,Acton,2020-07-23 ,0,-2.1106814431544647
101,Acton,2020-07-24 ,0,-3.926487869735292
102,Acton,2020-07-25 ,0,-4.397258185346008
103,Acton,2020-07-26 ,0,-3.1379957354094343
104,Agoura Hills,2020-03-30 ,0,-0.7092145643138529
105,Agoura Hills,2020-03-31 ,0,-0.6492852085431104
106,Agoura Hills,2020-04-01 ,0,-0.3694143616245197
107,Agoura Hills,2020-04-02 ,0,-0.4516061284696462
108,Agoura Hills,2020-04-03 ,0,-0.2399921604930545
109,Agoura Hills,2020-04-04 ,0,-0.1072932875688985
110,Agoura Hills,2020-04-05 ,0,-0.33567163376938614
111,Agoura Hills,2020-04-06 ,0,-0.20472089785850087
112,Agoura Hills,2020-04-07 ,0,-0.478117467380607
113,Agoura Hills,2020-04-08 ,0,-0.32519970416928856
114,Agoura Hills,2020-04-09 ,0,-0.26397549291924916
115,Agoura Hills,2020-04-10 ,0,-0.3610063645577388
116,Agoura Hills,2020-04-11 ,0,-0.3143042894921606
117,Agoura Hills,2020-04-12 ,0,-0.7697173259174277
118,Agoura Hills,2020-04-13 ,0,-0.4522961393347689
119,Agoura Hills,2020-04-14 ,0,-0.32616703323997914
120,Agoura Hills,2020-04-15 ,0,-0.48895821611704354
121,Agoura Hills,2020-04-16 ,0,-0.7729771052305916
122,Agoura Hills,2020-04-17 ,0,-0.10819070054376907
123,Agoura Hills,2020-04-18 ,1,0.512941313925467
124,Agoura Hills,2020-04-19 ,0,0.08948626796975424
125,Agoura Hills,2020-04-20 ,1,0.3374394786754384
126,Agoura Hills,2020-04-21 ,1,0.14257768879863977
127,Agoura Hills,2020-04-22 ,0,-0.053706823242764094
128,Agoura Hills,2020-04-23 ,0,-0.13710476004967093
129,Agoura Hills,2020-04-24 ,0,-0.3496778454749609
130,Agoura Hills,2020-04-25 ,0,-0.11723263482835392
131,Agoura Hills,2020-04-26 ,0,-0.8178932698217346
132,Agoura Hills,2020-04-27 ,0,-0.44467035791719556
133,Agoura Hills,2020-04-28 ,0,-0.3162560747308399
134,Agoura Hills,2020-04-29 ,0,-0.43526617379386556
135,Agoura Hills,2020-04-30 ,0,-0.11309820046412665
136,Agoura Hills,2020-05-01 ,0,-0.3333299137949592
137,Agoura Hills,2020-05-02 ,0,0.06930679346815476
138,Agoura Hills,2020-05-03 ,0,-0.5796816235943776
139,Agoura Hills,2020-05-04 ,0,-0.9472056698362744
140,Agoura Hills,2020-05-05 ,0,-0.5873339168200974
141,Agoura Hills,2020-05-06 ,0,-0.5581737432721984
142,Agoura Hills,2020-05-07 ,0,-0.3551101853495108
143,Agoura Hills,2020-05-08 ,0,-0.956379224690507
144,Agoura Hills,2020-05-09 ,0,-0.3043109801453273
145,Agoura Hills,2020-05-10 ,0,-0.770854752872244
146,Agoura Hills,2020-05-11 ,0,-0.5923669372480513
147,Agoura Hills,2020-05-12 ,0,-0.5167179561886021
148,Agoura Hills,2020-05-13 ,0,-0.19162922622509487
149,Agoura Hills,2020-05-14 ,1,0.11284903639110377
