ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Acton,17.188034188034187,6522.0,2.0,81.8950427350427,35.54658119658119,85.48504273504275,-40.69230769230769,-13.683760683760683,-19.247863247863247,-43.52991452991453,-39.743589743589745,16.572649572649574
Agoura Hills,43.93700787401575,20324.0,2.0,78.99866141732281,34.82866141732284,82.42118110236221,-40.976377952755904,-14.251968503937007,-20.74015748031496,-44.125984251968504,-40.41732283464567,17.03937007874016
Alhambra,268.44776119402985,85961.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Altadena,160.78625954198472,42680.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Arcadia,103.9776119402985,52951.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Arleta,322.136,31068.0,2.0,79.52463999999999,34.92472000000001,82.99680000000001,-40.944,-14.16,-20.528,-44.032,-40.28,16.944
Avalon,4.675675675675675,3181.0,2.0,104.29756756756758,45.23513513513514,110.66135135135133,-31.35135135135135,-10.891891891891891,-5.783783783783784,-39.270270270270274,-35.83783783783784,13.27027027027027
Azusa,296.5,44384.0,2.0,79.79193548387096,34.987903225806456,83.29419354838711,-40.92741935483871,-14.112903225806452,-20.411290322580644,-43.975806451612904,-40.20161290322581,16.887096774193548
Baldwin Hills,165.98496240601503,30123.0,1.0,77.75774436090224,34.71548872180452,80.99045112781957,-40.94736842105263,-14.037593984962406,-21.06015037593985,-44.12781954887218,-40.30827067669173,17.112781954887218
Baldwin Park,588.5546218487395,75753.0,2.0,81.29655462184871,35.38621848739495,84.85420168067229,-40.714285714285715,-13.764705882352942,-19.537815126050422,-43.64705882352941,-39.94957983193277,16.69747899159664
Bassett,162.28070175438597,23599.0,2.0,82.90342105263154,35.88850877192982,86.53377192982457,-40.48245614035088,-13.5,-18.42982456140351,-43.280701754385966,-39.60526315789474,16.464912280701753
Bell,406.35483870967744,36667.0,1.0,79.79193548387096,34.987903225806456,83.29419354838711,-40.92741935483871,-14.112903225806452,-20.411290322580644,-43.975806451612904,-40.20161290322581,16.887096774193548
Bell Gardens,429.608,44054.0,1.0,79.52463999999999,34.92472000000001,82.99680000000001,-40.944,-14.16,-20.528,-44.032,-40.28,16.944
Bellflower,533.6484375,72829.0,2.0,78.74078124999998,34.797031249999996,82.14203125000002,-40.984375,-14.2890625,-20.828125,-44.1640625,-40.46875,17.078125
Beverly Hills,186.30597014925374,33829.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Beverlywood,45.404580152671755,6080.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Boyle Heights,963.8582089552239,92756.0,1.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Brentwood,90.98496240601504,31344.0,2.0,77.75774436090224,34.71548872180452,80.99045112781957,-40.94736842105263,-14.037593984962406,-21.06015037593985,-44.12781954887218,-40.30827067669173,17.112781954887218
Burbank,395.96946564885496,100316.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Calabasas,79.41221374045801,23130.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Canoga Park,517.203125,53227.0,2.0,78.74078124999998,34.797031249999996,82.14203125000002,-40.984375,-14.2890625,-20.828125,-44.1640625,-40.46875,17.078125
Canyon Country,35.26984126984127,25899.0,2.0,79.25857142857141,34.87325396825398,82.70634920634922,-40.96031746031746,-14.206349206349206,-20.634920634920636,-44.07936507936508,-40.34920634920635,16.99206349206349
Carson,449.82835820895525,89549.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Castaic,821.3053435114504,16843.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Central,572.0487804878048,27849.0,1.0,80.02382113821137,35.044796747967474,83.56479674796749,-40.89430894308943,-14.073170731707316,-20.30081300813008,-43.91869918699187,-40.13008130081301,16.821138211382113
Century City,41.3587786259542,5513.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Cerritos,145.08527131782947,51831.0,2.0,78.41085271317829,34.70992248062016,81.8125581395349,-41.06976744186046,-14.37984496124031,-20.94573643410853,-44.24031007751938,-40.44961240310077,17.069767441860463
Chatsworth,198.83064516129033,35073.0,2.0,79.79193548387096,34.987903225806456,83.29419354838711,-40.92741935483871,-14.112903225806452,-20.411290322580644,-43.975806451612904,-40.20161290322581,16.887096774193548
Claremont,75.54471544715447,35397.0,2.0,80.02382113821137,35.044796747967474,83.56479674796749,-40.89430894308943,-14.073170731707316,-20.30081300813008,-43.91869918699187,-40.13008130081301,16.821138211382113
