,Places,Population.Density,population,incomLev
1,Alhambra,11275,"85,961",2
2,Arcadia,4749,"52,951",2
3,Beverly Hills,5933,"33,829",2
4,Boyle Heights,14229,"92,756",1
5,Carson,4676,"89,549",2
6,Culver City,7475,"38,816",2
7,Diamond Bar,3754,"56,784",2
8,Encino,4411,"41,905",2
9,Gardena,9894,"57,818",2
10,Glendale,6368,"195,047",2
11,Glendora,2568,"50,177",2
12,Granada Hills,3344,"50,535",2
13,Inglewood,12330,"112,482",2
14,Koreatown,42611,"115,070",1
15,La Mirada,5966,"46,782",2
16,Lancaster,1180,"120,783",2
17,Manhattan Beach,8573,"34,039",2
18,Melrose,"13,893","31,138",2
19,Northridge,6080,"57,561",2
20,Pasadena,5366,"134,941",2
21,San Dimas,2244,"35,064",2
22,San Pedro,6640,"80,065",2
23,Santa Monica,9817,"84,084",2
24,Sherman Oaks,6687,"61,166",2
25,Silverlake,"11,266","30,972",2
26,South Pasadena,7114,"24,303",2
27,Tarzana,4038,"35,502",2
28,Torrance,6701,"137,933",2
29,Venice,11891,"37,705",2
30,West Adams,14686,"21,764",1
31,West Hills,4551,"38,814",2
32,West Hollywood,18924,"35,716",2
33,West Vernon,18,94,2
34,Westchester,3839,"41,500",2
35,Altadena,4900,"42,680",2
36,Baldwin Hills,"10,446","30,123",1
37,Brentwood,2059,"31,344",2
38,Eagle Rock,7644,"32,493",2
39,Lynwood,14264,"69,899",2
40,Mar Vista,12259,"35,492",2
41,Monterey Park,7823,"59,933",2
42,North Hollywood,13264,"77,848",1
43,Santa Clarita,2745,"157,447",2
44,Woodland Hills,4040,"59,661",2
45,Hollywood,22193,"77,818",1
46,Hollywood Hills,3063,"21,588",2
47,Sylmar,5579,"69,499",2
48,Walnut,3329,"30,004",2
49,Beverlywood,7654,"6,080",2
50,Burbank,5785,"100,316",2
51,Calabasas,1247,"23,130",2
52,Castaic,3076,"16,843",2
53,Century City,7869,"5,513",2
54,Covina,6701,"50,954",2
55,Crestview,"15,343","5,284",2
56,East Los Angeles,16863,"125,897",1
57,Echo Park,16868,"40,455",1
58,Hancock Park,6459,"9,804",2
59,Hawthorne,13848,"86,265",1
60,Lawndale,16119,"31,729",2
61,Lomita,10424,"19,984",2
62,Palms,21870,"42,545",2
63,Park La Brea,"21,446","150,898",2
64,Playa Vista,1859,"2,416",2
65,Reseda,10600,"62,174",2
66,Stevenson Ranch,2765,"8,609",2
67,Studio City,5395,"34,034",2
68,Tujunga,2649,"26,527",2
69,University Park,20217,"23,596",1
70,Valley Glen,12325,"59,230",2
71,Van Nuys,11542,"103,770",1
72,Vermont Knolls,18057,"20,616",1
73,Westwood,13036,"47,916",2
74,Whittier,5688,"83,838",2
75,Downtown,4770,"27,849",1
76,El Segundo,2925,"15,970",2
77,Lake Balboa,7754,"24,238",2
78,Lakewood,8348,"79,412",2
79,Miracle Mile,"10,368","7,295",2
80,Redondo Beach,10129,"63,261",2
81,San Fernando,9856,"23,534",2
82,South Whittier,10291,"55,285",2
83,Winnetka,9826,"46,943",2
84,Cerritos,5851,"51,831",2
85,Del Rey,11420,"28,010",2
86,La Canada Flintridge,"2,342","20,009",2
87,La Verne,3863,"33,117",2
88,Montebello,7329,"61,960",2
89,Sun Valley,8048,"75,848",2
90,Sunland,3825,"15,316",2
91,Vermont Vista,14154,"23,291",1
92,Vernon Central,18,94,2
93,West Covina,6509,"104,893",2
94,Westlake,38214,"103,839",1
95,Bellflower,11756,"72,829",2
96,Canoga Park,12240,"53,227",2
97,East Hollywood,31095,"73,967",1
98,Los Feliz,13512,"35,238",2
99,Paramount,11395,"55,319",2
100,Rancho Palos Verdes,3084,"41,301",2
101,South Gate,12945,"96,418",2
102,Temple City,8366,"33,296",2
103,Wilmington,5636,"51,517",1
104,Agoura Hills,2495,"20,324",2
105,Cloverdale/Cochran,"2,708","6,817",1
106,Compton,9199,"94,384",1
107,Duarte,3212,"21,486",2
108,Exposition Park,16819,"31,062",1
109,Hyde Park,12700,"36,635",1
110,Lincoln Heights,10602,"26,616",1
111,Palmdale,874,"117,432",2
112,South Park,21638,"30,496",1
