Date,case_rate,cases,death_rate,deaths,location
04/15/2020,100.56,21,,,CITY OF AGOURA HILLS
04/15/2020,42.66,37,,,CITY OF ALHAMBRA
04/15/2020,43.29,25,,,CITY OF ARCADIA
04/15/2020,29.77,5,,,CITY OF ARTESIA
04/15/2020,0,0,,,CITY OF AVALON
04/15/2020,43.96,22,,,CITY OF AZUSA
04/15/2020,44.29,34,,,CITY OF BALDWIN PARK
04/15/2020,176.15,64,,,CITY OF BELL
04/15/2020,90.55,39,,,CITY OF BELL GARDENS
04/15/2020,70.75,55,,,CITY OF BELLFLOWER
04/15/2020,225.96,78,,,CITY OF BEVERLY HILLS
04/15/2020,--,--,,,CITY OF BRADBURY
04/15/2020,104.5,112,,,CITY OF BURBANK
04/15/2020,106.89,26,,,CITY OF CALABASAS
04/15/2020,141.72,133,,,CITY OF CARSON
04/15/2020,67.91,34,,,CITY OF CERRITOS
04/15/2020,35.63,13,,,CITY OF CLAREMONT
04/15/2020,--,--,,,CITY OF COMMERCE
04/15/2020,72.07,72,,,CITY OF COMPTON
04/15/2020,110.13,54,,,CITY OF COVINA
04/15/2020,98.57,24,,,CITY OF CUDAHY
04/15/2020,85.29,34,,,CITY OF CULVER CITY
04/15/2020,38.25,22,,,CITY OF DIAMOND BAR
04/15/2020,97.14,111,,,CITY OF DOWNEY
04/15/2020,68.13,15,,,CITY OF DUARTE
04/15/2020,28.99,34,,,CITY OF EL MONTE
04/15/2020,71.49,12,,,CITY OF EL SEGUNDO
04/15/2020,133.75,82,,,CITY OF GARDENA
04/15/2020,134.63,278,,,CITY OF GLENDALE
04/15/2020,49.28,26,,,CITY OF GLENDORA
04/15/2020,--,--,,,CITY OF HAWAIIAN GARDENS
04/15/2020,97.99,87,,,CITY OF HAWTHORNE
04/15/2020,86.43,17,,,CITY OF HERMOSA BEACH
04/15/2020,0,0,,,CITY OF HIDDEN HILLS
04/15/2020,73.97,44,,,CITY OF HUNTINGTON PARK
04/15/2020,--,--,,,CITY OF INDUSTRY
04/15/2020,116.22,132,,,CITY OF INGLEWOOD
04/15/2020,0,0,,,CITY OF IRWINDALE
04/15/2020,111.15,23,,,CITY OF LA CANADA FLINTRIDGE
04/15/2020,--,--,,,CITY OF LA HABRA HEIGHTS
04/15/2020,50.4,25,,,CITY OF LA MIRADA
04/15/2020,54.06,22,,,CITY OF LA PUENTE
04/15/2020,27.04,9,,,CITY OF LA VERNE
04/15/2020,53.51,43,,,CITY OF LAKEWOOD
04/15/2020,56.32,91,,,CITY OF LANCASTER
04/15/2020,92.22,31,,,CITY OF LAWNDALE
04/15/2020,110.96,23,,,CITY OF LOMITA
04/15/2020,116.59,84,,,CITY OF LYNWOOD
04/15/2020,138.88,18,,,CITY OF MALIBU
04/15/2020,152.78,55,,,CITY OF MANHATTAN BEACH
04/15/2020,99.83,28,,,CITY OF MAYWOOD
04/15/2020,36.08,14,,,CITY OF MONROVIA
04/15/2020,99.42,64,,,CITY OF MONTEBELLO
04/15/2020,54.61,34,,,CITY OF MONTEREY PARK
04/15/2020,81.77,88,,,CITY OF NORWALK
04/15/2020,74.23,118,,,CITY OF PALMDALE
04/15/2020,266.23,36,,,CITY OF PALOS VERDES ESTATES
04/15/2020,78.54,44,,,CITY OF PARAMOUNT
04/15/2020,104.23,67,,,CITY OF PICO RIVERA
04/15/2020,37.2,58,,,CITY OF POMONA
04/15/2020,107.61,46,,,CITY OF RANCHO PALOS VERDES
04/15/2020,122.28,84,,,CITY OF REDONDO BEACH
04/15/2020,--,--,,,CITY OF ROLLING HILLS
04/15/2020,135.58,11,,,CITY OF ROLLING HILLS ESTATES
04/15/2020,28.91,16,,,CITY OF ROSEMEAD
04/15/2020,52.15,18,,,CITY OF SAN DIMAS
04/15/2020,109.7,27,,,CITY OF SAN FERNANDO
04/15/2020,34.18,14,,,CITY OF SAN GABRIEL
04/15/2020,60.25,8,,,CITY OF SAN MARINO
04/15/2020,75.31,166,,,CITY OF SANTA CLARITA
04/15/2020,49.01,9,,,CITY OF SANTA FE SPRINGS
04/15/2020,106.01,98,,,CITY OF SANTA MONICA
04/15/2020,--,--,,,CITY OF SIERRA MADRE
04/15/2020,42.38,5,,,CITY OF SIGNAL HILL
04/15/2020,--,--,,,CITY OF SOUTH EL MONTE
04/15/2020,110.03,108,,,CITY OF SOUTH GATE
04/15/2020,65.25,17,,,CITY OF SOUTH PASADENA
04/15/2020,46.63,17,,,CITY OF TEMPLE CITY
04/15/2020,106.52,159,,,CITY OF TORRANCE
04/15/2020,0,0,,,CITY OF VERNON
04/15/2020,42.58,13,,,CITY OF WALNUT
04/15/2020,44.35,48,,,CITY OF WEST COVINA
04/15/2020,284.16,105,,,CITY OF WEST HOLLYWOOD
04/15/2020,71.77,6,,,CITY OF WESTLAKE VILLAGE
04/15/2020,64.05,56,,,CITY OF WHITTIER
04/15/2020,116.38,4707,,,LOS ANGELES
04/15/2020,195.07,16,,,LOS ANGELES - ADAMS-NORMANDIE
04/15/2020,56.25,7,,,LOS ANGELES - ALSACE
04/15/2020,--,--,,,LOS ANGELES - ANGELINO HEIGHTS
